doc_id,discussion_id,result_id
1691937,0,0
1691937,1,0
1691937,1,2
1691937,2,1
1691937,3,0
1691937,3,2
1691937,3,4
1691937,4,4
433520,1,0
433520,1,1
433520,2,2
433520,2,3
433520,3,4
433520,5,1
433520,5,3
433520,5,4
429330,0,0
429330,0,1
429330,1,2
429330,1,3
429330,2,2
429330,2,3
429330,3,2
429330,3,3
429330,4,2
429330,4,3
1128341,0,4
1128341,1,0
1128341,1,2
1128341,2,0
1128341,3,2
1128341,4,1
432234,0,2
432234,1,9
432234,3,0
432234,4,3
432234,4,4
432234,5,3
432234,6,4
432234,8,6
432234,8,7
432234,10,5
432234,11,2
434379,0,0
434379,0,2
434379,1,0
434379,2,0
434379,3,0
434379,4,1
434379,5,2
434379,6,2
434379,7,3
434379,8,3
434379,9,3
432326,0,0
432326,1,1
432326,2,3
432326,3,2
432129,0,0
432129,0,1
432129,0,2
432129,0,3
432129,1,0
432129,2,0
432129,3,1
432129,4,2
432129,4,3
432129,5,2
432129,5,3
432103,0,2
432103,1,1
432103,1,3
432103,2,2
432103,3,3
432103,4,2
1150,1,0
1150,2,0
1150,3,1
1150,4,1
1150,5,1
1150,7,1
653044,0,0
653044,0,2
653044,1,0
653044,2,1
653044,2,2
653044,2,4
653044,3,5
1442658,4,0
1442658,4,1
1442658,4,3
1442658,4,6
1442658,5,7
1442658,6,3
1442658,6,4
1442658,6,6
1442658,7,8
1442658,8,4
1442658,8,5
1287608,0,1
1287608,0,2
1287608,1,0
1287608,2,0
1287608,3,0
1287608,4,0
1287608,5,0
1287608,6,1
1287608,6,2
1287608,7,3
1287608,8,3
1287608,8,4
1287608,9,1
1287608,9,2
1287608,9,3
1287608,9,4
2491053,0,2
2491053,3,1
2491053,4,3
2491053,5,2
2491053,7,2
2491053,8,2
2491053,9,3
2491053,10,2
2491053,11,2
2491053,12,1
2491053,12,2
2491053,12,4
193334,0,0
193334,0,1
193334,1,1
193334,1,0
193334,2,1
193334,3,0
193334,4,0
193334,5,0
193334,5,1
2547425,0,5
2547425,0,6
2547425,1,5
2547425,1,6
2547425,2,0
2547425,2,6
2547425,3,5
2547425,4,5
2547425,4,6
2547425,5,5
2547425,5,6
2547425,6,6
654927,0,0
654927,0,1
654927,0,2
654927,2,2
654927,3,2
654927,4,2
654927,5,0
654927,5,2
654927,6,1
654927,6,2
654927,7,0
654927,8,1
2442696,0,1
2442696,0,2
2442696,1,1
1982497,0,0
1982497,1,0
1421389,0,0
1421389,0,1
1421389,2,2
1421389,2,3
1421389,2,4
1421389,3,1
1421389,3,2
1421389,3,4
1421389,4,2
